SMPLID	Mophological.cluster.G4_0	Mophological.cluster.G4_1	Mophological.cluster.G4_2	Mophological.cluster.G4_3	Mophological.cluster.G4_4	Mophological.cluster.G4_5	Mophological.cluster.G4_6	Mophological.cluster.G4_7	Mophological.cluster.G4_8	Mophological.cluster.G4_9	Mophological.cluster.G4_10	Mophological.cluster.G4_11	Mophological.cluster.G4_12	Mophological.cluster.G4_13	Mophological.cluster.G4_14	Mophological.cluster.G4_15	Mophological.cluster.G4_16	Mophological.cluster.G4_17	Mophological.cluster.G4_18	Mophological.cluster.G4_19	Mophological.cluster.G4_20	Mophological.cluster.G4_21	Mophological.cluster.G4_22	Mophological.cluster.G4_23	Mophological.cluster.G4_24	Mophological.cluster.G4_25	Mophological.cluster.G4_26	Mophological.cluster.G4_27	Mophological.cluster.G4_28	Mophological.cluster.G4_29	Mophological.cluster.G4_30	Mophological.cluster.G4_31
GTEX.111FC.0826	165	467	6	1157	335	929	6	271	135	80	1	196	27	66	136	1928	651	28	0	169	41	210	694	7	498	9	106	34	961	167	97	0
GTEX.111YS.0426	1	99	0	114	57	5	115	5	171	173	15	151	0	132	52	35	36	33	0	313	422	12	279	302	0	72	2	134	35	42	190	17
GTEX.1122O.0826	0	5	1	23	60	0	496	230	164	0	11	70	165	8	63	3	8	62	0	18	795	6	45	2336	0	2004	0	274	0	92	175	18
GTEX.117YW.0326	828	293	157	793	956	125	0	216	42	24	0	243	192	491	81	33	1648	202	0	121	21	1594	281	9	49	3	39	2	3082	549	294	25
GTEX.117YX.1126	8	0	2	10	67	16	2409	13	175	26	1017	122	0	24	268	0	27	50	0	68	424	20	5	285	3	55	23	152	0	88	2	805
GTEX.11DXX.0326	30	12	11	0	51	4	1513	76	241	31	2676	140	44	10	544	9	4	81	0	63	247	10	10	1131	3	1688	32	184	0	132	18	2311
GTEX.11DXY.0826	186	42	50	135	86	334	0	60	61	200	1	252	35	13	109	180	185	52	0	230	9	56	35	3	850	0	76	4	103	119	18	0
GTEX.11DXZ.0626	173	52	985	47	71	421	139	128	57	276	53	118	23	274	319	45	228	18	0	124	115	1443	616	254	99	44	886	62	15	59	89	503
GTEX.11EM3.0626	1	15	0	1	25	2	340	16	216	8	928	68	0	21	211	0	0	19	0	91	83	2	2	1976	0	356	1	203	0	40	7	795
GTEX.11EMC.0726	29	591	3	1213	437	903	212	89	187	1975	2	280	2	169	64	695	496	129	0	398	438	86	515	11	54	34	75	44	170	225	55	5
GTEX.11GS4.0526	1069	6	3421	44	152	158	1	49	20	37	0	244	30	68	104	64	252	61	0	71	7	601	124	2	715	0	795	1	134	85	27	17
GTEX.11GSP.1326	287	11	2630	116	317	52	7	0	120	17	19	234	0	88	247	40	249	57	0	120	121	1304	579	311	254	5	1479	25	8	426	92	335
GTEX.11I78.0826	32	2	21	38	144	33	1568	159	254	35	1400	183	34	58	598	12	54	99	0	102	765	89	87	2171	3	119	551	256	1	115	21	2018
GTEX.11LCK.0926	0	166	0	72	152	6	412	73	481	42	401	33	9	76	188	59	31	41	0	96	858	31	277	3924	0	2229	1	164	14	117	783	248
GTEX.11O72.1126	6	635	0	1984	534	121	15	298	217	508	4	111	187	414	37	1724	176	33	0	160	122	87	310	14	5	42	48	60	832	275	1181	3
GTEX.11ONC.0126	780	299	425	6	171	2562	2	60	79	41	16	207	14	390	345	15	312	39	0	464	9	349	93	7	3366	2	2791	15	237	93	7	18
GTEX.11TT1.1326	87	95	290	10	77	6	167	110	336	16	502	244	104	99	1177	3	11	109	0	169	153	73	6	1278	3	958	431	48	26	77	190	4550
GTEX.11TUW.1026	892	32	5439	502	458	43	2	82	84	3	2	283	35	102	185	31	759	47	0	181	69	2175	911	42	398	3	690	1	210	155	314	67
GTEX.11ZUS.0226	343	286	128	333	262	888	1	14	114	139	1	258	1	649	56	316	723	89	0	405	3	1244	258	8	476	0	427	3	1727	106	112	1
GTEX.11ZVC.0426	113	299	66	311	171	461	77	353	146	410	23	60	75	230	183	699	153	9	0	286	219	335	789	126	621	29	1208	396	37	96	132	25
GTEX.1211K.0626	0	53	0	8	67	16	467	277	331	8	1069	221	57	8	689	1	7	77	0	374	209	0	3	664	1	830	30	40	2	131	4	833
GTEX.1212Z.0626	442	135	518	570	274	1094	1	115	123	29	0	168	94	739	103	236	785	59	0	157	16	3493	1502	20	492	6	1096	15	175	204	408	2
GTEX.12584.0926	273	35	132	31	101	1805	12	104	113	123	18	106	11	108	354	21	183	10	0	411	21	149	167	34	1152	2	2058	9	16	78	2	7
GTEX.12696.1126	74	175	182	324	173	824	112	9	288	205	177	193	0	219	698	278	193	103	0	690	247	380	406	293	186	109	1464	44	54	55	181	415
GTEX.1269C.0826	73	711	52	279	95	330	11	3	153	151	2	162	0	75	98	1263	241	47	0	300	34	114	116	3	90	6	230	104	191	29	436	17
GTEX.12BJ1.0226	10	4	0	6	75	0	233	27	271	1	2796	214	0	6	452	0	10	145	0	40	241	17	18	2022	0	1237	5	54	0	104	44	3626
GTEX.12WSC.1126	202	44	413	452	263	445	2	115	104	126	3	180	15	200	199	436	611	128	0	111	15	1204	1598	44	203	5	653	11	64	125	223	32
GTEX.12WSD.1126	31	809	81	553	151	132	1	24	230	81	1	184	5	697	76	496	141	67	0	235	48	308	904	71	49	180	329	199	243	45	762	13
GTEX.12WSG.0526	620	13	282	64	145	1243	7	50	82	293	2	52	0	148	127	62	358	6	0	77	7	395	66	5	1074	0	1093	27	30	35	2	7
GTEX.12WSK.0626	20	4	7	9	51	13	219	195	83	27	344	126	74	10	628	0	26	18	0	57	165	63	29	992	1	97	23	10	2	83	9	1318
GTEX.12WSN.5001	0	0	0	0	0	0	0	0	15	0	0	4	0	0	0	0	0	44	2714	0	0	0	0	0	0	0	0	0	0	0	0	0
GTEX.12ZZW.1026	50	866	0	463	430	360	79	31	174	935	0	324	59	368	151	544	340	282	0	742	198	74	246	44	51	55	36	136	465	281	300	0
GTEX.12ZZY.1126	237	260	149	420	277	832	14	117	171	1152	1	167	17	402	153	409	344	53	0	858	60	428	368	9	460	8	1000	37	237	95	94	1
GTEX.12ZZZ.1726	768	186	807	1640	997	496	24	90	151	349	0	580	39	272	211	633	1419	125	0	328	322	2010	2071	20	1614	10	1587	63	452	437	825	14
GTEX.13112.0426	6	160	0	1029	179	131	4	107	157	115	0	125	62	52	18	1529	208	84	0	204	44	30	1261	19	5	12	3	59	66	141	382	0
GTEX.1313W.1426	146	1409	1	655	436	313	0	29	252	186	0	124	1	510	48	431	404	21	0	190	23	218	81	0	56	20	25	42	1294	122	364	0
GTEX.1314G.0126	9	1026	10	357	120	1162	19	541	314	1387	12	46	192	602	140	682	254	9	0	579	118	62	488	52	36	57	394	110	159	52	196	19
GTEX.131XE.0626	399	262	1276	84	274	32	12	16	165	15	2	130	3	720	314	21	265	26	0	90	60	915	113	79	29	259	397	134	192	111	533	1045
GTEX.131XF.5001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	1296	0	0	0	0	0	0	0	0	0	0	0	0	0
GTEX.131XG.0626	4	3	4	68	227	2	1070	130	433	4	1464	65	18	10	773	4	45	81	0	46	1468	50	152	2875	0	979	28	282	0	206	225	2653
GTEX.131XH.0226	9	1366	3	546	379	72	33	109	366	400	29	74	36	364	23	1059	130	37	0	228	140	77	311	78	2	644	112	864	140	111	1130	3
GTEX.132AR.2026	17	37	2	7	111	176	821	41	366	280	536	97	0	364	674	2	44	47	0	346	647	55	118	1016	1	86	463	43	0	171	1	1749
GTEX.132NY.1726	163	505	19	380	202	1763	4	45	143	159	2	162	1	647	161	362	527	19	0	442	57	236	432	22	328	10	757	5	329	92	35	5
GTEX.132QS.0426	17	5	0	41	72	3	44	16	310	0	950	98	2	2	242	6	8	36	0	60	146	3	11	1450	0	2645	3	129	0	84	174	644
GTEX.1339X.0426	0	15	0	42	111	0	308	3	372	33	146	28	0	55	136	5	11	35	0	40	475	20	16	1410	0	2882	2	720	6	113	701	133
GTEX.1399R.1926	41	7	78	137	225	3	36	21	452	25	70	155	2	176	655	38	143	53	0	53	805	398	347	3528	0	1476	21	1112	12	135	819	3172
GTEX.1399S.1026	2	16	0	5	39	1	564	33	352	7	1242	102	2	1	508	13	3	73	0	69	333	0	17	2272	0	2450	0	72	0	81	133	2721
GTEX.1399T.0426	1790	6	3161	25	424	16	0	205	7	7	0	335	128	13	159	20	146	217	0	10	5	716	21	2	86	1	111	0	68	657	17	73
GTEX.1399U.0526	1	2	0	53	104	0	30	173	514	0	124	120	187	10	113	1	2	66	0	47	380	5	7	1417	0	6671	1	33	1	264	568	75
GTEX.139YR.0826	27	48	16	8	51	0	197	80	252	2	1291	131	40	64	604	0	4	89	0	61	198	10	5	1254	1	841	10	105	6	55	153	7345
GTEX.13CF2.0426	18	370	15	288	73	88	6	130	102	73	0	211	55	337	28	225	138	19	0	319	91	85	421	34	24	73	49	60	211	33	556	2
GTEX.13CF3.0726	0	60	0	32	109	10	434	106	615	0	442	68	19	6	285	25	12	44	0	310	908	11	32	1351	0	2327	3	74	6	92	150	127
GTEX.13D11.1726	0	5	0	25	84	0	1546	253	333	2	1162	57	205	3	355	3	7	36	0	29	818	1	7	3134	0	3134	32	882	1	271	103	4432
GTEX.13FH7.0926	5	1	3	5	8	23	1286	37	238	18	2603	69	15	1	483	1	1	38	0	107	171	8	6	352	5	11	32	91	0	27	0	690
GTEX.13FHP.1026	173	96	515	41	85	571	10	37	72	84	5	263	0	369	144	116	163	44	0	545	28	1299	556	59	434	14	1667	30	52	126	96	18
GTEX.13FLV.0926	1	134	0	2101	426	2	1	525	210	0	2	156	271	25	73	377	97	68	0	36	381	27	519	34	2	93	2	32	27	334	2250	3
GTEX.13FTW.1026	15	66	1	51	223	4	2725	96	818	14	2568	113	5	25	833	15	35	191	0	121	1197	24	36	3757	2	4749	6	602	12	267	284	1647
GTEX.13FTZ.0226	59	796	121	982	459	85	67	144	306	506	2	223	53	571	75	1090	200	38	0	550	501	271	268	61	36	209	196	678	285	321	1239	69
GTEX.13JVG.1326	608	904	1309	140	212	2049	110	86	200	544	16	578	46	107	447	322	456	225	0	1369	111	894	716	32	3915	46	2732	102	175	202	55	31
GTEX.13N11.0426	10	19	3	87	166	8	662	97	220	4	192	133	23	36	393	92	61	52	0	71	625	95	236	1510	0	317	27	47	3	133	125	311
GTEX.13N1W.1026	77	233	139	754	323	148	37	122	134	2131	1	225	37	151	65	1057	367	43	0	257	193	230	650	22	71	5	113	235	107	300	392	6
GTEX.13NYB.0226	323	355	179	341	251	249	27	16	113	187	1	306	1	797	88	570	475	44	0	350	114	783	435	26	136	12	338	51	944	143	298	5
GTEX.13NZB.0226	49	1121	21	949	168	884	12	75	222	532	0	101	5	205	68	1960	364	20	0	186	19	284	324	19	138	50	144	57	1199	31	502	2
GTEX.13O1R.1226	464	118	32	351	525	943	10	17	230	577	1	155	0	130	152	355	906	127	0	139	68	433	320	12	305	58	111	16	472	107	207	1
GTEX.13O21.2326	0	39	0	50	58	20	1540	19	236	19	4	53	0	21	23	9	12	27	0	118	594	11	31	203	1	3231	11	215	5	255	284	10
GTEX.13O3O.1526	12	2264	0	532	225	290	1	100	103	20	0	142	34	284	6	632	168	27	0	363	12	4	111	6	21	35	20	34	1639	75	401	0
GTEX.13O3P.1626	116	956	74	816	285	143	14	101	167	178	2	38	47	370	84	1313	261	16	0	91	228	293	891	115	106	142	149	104	307	92	903	12
GTEX.13O61.0526	0	0	0	4	30	0	1158	22	145	0	47	14	11	0	26	1	5	4	0	12	291	0	6	372	0	576	0	144	0	24	12	15
GTEX.13OVG.0526	404	171	352	388	639	37	38	231	578	644	5	327	258	347	314	63	431	114	0	196	825	377	145	182	141	92	111	983	324	254	356	32
GTEX.13OVL.0526	45	895	6	2935	507	128	126	143	452	830	0	530	32	96	51	3606	400	44	0	369	659	80	344	31	12	61	47	160	498	192	726	5
GTEX.13OW5.1126	808	34	275	304	229	1004	33	263	204	933	62	122	83	1128	356	123	334	285	0	336	28	330	34	18	1386	5	1097	107	104	67	8	8
GTEX.13OW6.1126	1081	51	121	90	190	1348	3	84	137	294	0	242	44	212	96	177	811	35	0	276	27	1339	530	12	2194	0	225	12	275	167	46	1
GTEX.13OW8.2126	2	5815	0	1605	330	35	1	110	416	15	2	219	15	187	23	419	47	202	0	334	7	1	20	3	3	96	4	18	1792	162	788	0
GTEX.13PVQ.1226	432	251	169	157	225	1040	0	23	69	55	7	141	1	257	138	140	312	46	0	73	4	158	165	9	1631	11	933	7	343	156	21	9
GTEX.13PVR.1026	5	9	0	15	74	11	957	137	131	29	1278	63	104	30	193	0	15	15	0	120	337	0	15	955	0	237	7	125	0	133	10	749
GTEX.13QBU.0426	1	554	0	82	302	9	196	132	2377	31	91	132	15	115	242	4	35	180	0	349	910	5	37	1776	0	9750	9	419	61	291	632	56
GTEX.13RTJ.0726	460	927	480	628	579	1587	4	87	125	198	1	172	26	235	446	814	830	223	0	193	245	1287	1763	68	1039	11	2687	45	591	367	249	8
GTEX.13S86.0226	4	347	11	77	86	42	1360	26	518	195	224	112	3	443	398	28	21	150	0	90	883	130	261	1318	1	347	359	390	28	43	218	1197
GTEX.13SLX.1026	646	352	199	668	341	278	2	51	162	17	1	91	10	376	155	525	295	38	0	137	24	516	227	14	129	36	239	100	239	196	460	17
GTEX.13U4I.0826	17	62	39	5	60	79	69	27	127	14	1407	32	18	383	489	6	37	2	0	106	103	113	33	1269	10	276	417	73	4	39	10	2826
GTEX.13VXT.1126	18	217	0	71	108	269	295	353	412	1309	550	106	473	446	476	162	94	62	0	305	392	112	137	666	20	60	139	1086	168	306	44	215
GTEX.13W3W.0426	37	309	20	47	110	76	1254	171	597	57	220	360	61	92	653	16	38	67	0	427	1009	51	87	1490	5	1739	111	76	29	192	99	465
GTEX.13X6H.0426	3	10	0	25	142	1	962	11	860	29	199	78	0	29	156	7	16	70	0	62	667	6	6	724	0	1274	0	2035	1	80	86	44
GTEX.13X6I.1426	55	1614	2	475	412	506	4	111	318	30	4	144	23	700	138	128	189	50	0	424	60	63	181	20	185	144	63	16	446	180	504	1
GTEX.13X6K.1826	203	265	277	214	172	679	12	62	153	123	8	194	14	527	148	191	379	18	0	335	111	799	340	32	347	6	901	15	236	88	107	22
GTEX.13YAN.1326	65	152	25	711	256	360	264	11	188	1142	16	97	1	257	114	1336	450	26	0	298	629	529	1029	102	64	16	130	288	111	205	258	9
GTEX.145LV.0326	19	506	15	213	468	83	317	48	479	74	89	135	0	159	423	153	114	125	0	112	984	46	47	343	13	473	112	897	138	347	201	70
GTEX.145MN.0626	25	1	7	5	84	0	131	93	199	0	1638	18	67	4	454	0	8	25	0	4	247	25	7	1591	0	547	0	115	1	119	16	3398
GTEX.145MO.1126	4	47	6	939	349	29	13	7	124	62	0	111	0	100	40	795	122	50	0	88	135	289	618	29	6	13	21	240	8	256	976	2
GTEX.146FH.1026	220	736	403	235	358	180	2	16	133	154	1	86	0	298	115	54	187	21	0	147	38	154	54	3	316	9	1072	23	744	174	286	9
GTEX.146FR.0626	0	6	0	7	59	1	7259	178	500	54	140	120	33	1	65	6	4	48	0	49	1045	0	5	733	0	786	0	850	0	95	14	30
GTEX.147F4.1226	771	558	1924	272	423	983	3	219	89	197	1	567	72	220	265	50	604	205	0	362	33	737	100	1	2144	15	1332	6	1080	177	171	19
GTEX.147JS.1526	11	782	7	1217	313	6	0	10	133	2	0	29	0	543	22	87	133	81	0	50	11	272	523	12	1	132	12	4	627	154	2895	1
GTEX.148VI.0326	183	481	652	204	237	513	22	45	204	510	7	226	4	427	158	193	418	39	0	218	73	950	482	88	204	39	825	45	585	103	86	27
GTEX.148VJ.1526	204	555	54	741	848	149	179	60	181	758	6	367	12	481	152	538	685	109	0	428	658	479	332	65	28	47	70	126	640	537	240	20
GTEX.1497J.1226	3	1783	0	1484	401	3	0	32	145	5	0	69	9	161	9	134	124	23	0	60	9	6	78	3	0	47	0	4	3460	179	1562	1
GTEX.14A5I.1226	28	678	3	580	312	738	108	88	219	2312	1	580	7	270	88	441	414	106	0	919	414	60	393	6	32	9	78	185	280	132	98	0
GTEX.14A6H.0226	0	3480	0	802	73	23	0	58	325	0	1	46	20	160	4	624	16	31	0	197	21	0	101	2	0	104	0	4	297	58	695	0
GTEX.14BIL.1126	61	467	10	315	202	530	0	259	93	148	0	124	822	849	66	116	632	74	0	154	19	942	553	6	95	14	158	3	1228	266	517	0
GTEX.14BIN.2226	113	853	79	157	154	1038	1	138	129	95	0	139	31	686	61	187	264	34	0	282	1	308	123	0	260	1	579	4	1953	118	30	0
GTEX.14C38.1426	831	227	859	1062	241	555	3	25	167	126	7	477	2	261	233	541	1752	89	0	97	55	2012	965	49	245	6	290	4	1351	62	451	40
GTEX.14C39.0926	253	113	86	4034	1250	21	5	19	96	13	2	414	4	120	272	759	1763	118	0	111	572	1265	3500	251	10	30	24	9	537	335	1683	21
GTEX.14C5O.1326	10	1368	0	426	167	108	0	55	166	9	0	111	0	769	12	271	201	21	0	163	8	104	353	21	4	33	1	11	1760	58	1144	1
GTEX.14DAQ.1126	1	889	0	399	171	535	6	83	129	1155	0	147	18	379	55	264	94	129	0	387	190	8	248	9	10	3	74	172	131	281	80	0
GTEX.14E1K.1026	9	11	10	155	127	2	806	30	223	30	241	71	1	88	427	45	54	53	0	122	767	38	209	1236	2	212	110	93	2	95	161	1723
GTEX.14E6C.0426	15	1288	11	499	254	308	17	0	256	83	1	84	0	264	97	691	228	17	0	356	267	79	747	64	12	30	83	109	422	84	178	4
GTEX.14E6D.0926	283	50	1198	212	207	63	0	67	61	69	0	216	28	617	138	78	761	31	0	71	80	3080	1428	83	135	0	999	20	343	110	591	47
GTEX.14E7W.1226	626	175	657	220	269	198	3	78	50	479	1	285	9	277	96	97	669	33	0	121	76	850	493	11	339	3	370	27	183	75	230	4
GTEX.14H4A.0626	0	72	0	15	42	3	3004	64	1883	15	134	114	0	4	101	12	6	263	0	249	1625	0	11	493	0	2183	0	648	4	168	5	0
GTEX.14JG1.1026	251	87	36	97	127	1121	5	23	114	141	4	385	0	97	200	84	454	187	0	348	20	593	418	14	968	6	444	7	85	39	16	1
GTEX.14JIY.1126	561	2	1532	104	344	232	56	113	66	278	6	471	28	52	967	104	660	76	0	273	589	2485	1107	245	47	1	1226	11	5	242	31	806
GTEX.14PHX.2126	17	49	6	145	255	5	1640	109	233	10	94	141	5	10	472	80	99	35	0	96	1450	88	294	1925	0	185	5	35	19	125	80	328
GTEX.14PHY.0226	0	31	0	127	106	1	715	106	163	6	5	171	52	15	53	248	48	15	0	63	1760	8	289	923	0	278	1	157	21	91	391	10
GTEX.14PJ2.1026	36	131	44	307	203	59	35	77	124	585	6	72	7	277	45	295	278	13	0	178	306	214	468	92	5	12	62	172	73	161	245	22
GTEX.14PJ4.1126	295	0	283	2	154	0	152	48	75	1	94	51	5	1	1234	1	0	191	0	5	159	12	4	1380	0	15	0	3	0	475	1	6581
GTEX.14PJ6.0726	0	106	0	22	24	1	852	40	390	1	42	72	1	5	17	3	2	51	0	137	264	0	2	89	0	4323	0	169	1	44	42	0
GTEX.14PJM.1126	191	81	24	652	698	961	5	144	106	830	3	229	56	59	118	853	728	62	0	248	136	142	316	2	342	2	225	85	87	875	24	1
GTEX.14PK6.0826	5	28	0	6	113	9	2184	218	792	31	967	289	24	36	351	3	8	116	0	107	627	4	12	3096	1	2601	5	1070	2	156	51	355
GTEX.14PN3.0526	1	1	1	3	32	1	1906	24	285	7	1571	76	2	1	233	0	1	24	0	68	325	2	27	1919	0	177	0	69	0	56	2	645
GTEX.14XAO.1126	118	67	3	298	475	337	196	196	466	97	88	1559	73	358	2784	10	564	893	0	557	700	386	252	1095	83	125	151	27	318	751	490	219
GTEX.15CHC.0426	0	115	0	87	49	7	543	46	240	47	256	131	3	11	111	173	21	18	0	235	586	3	78	801	0	1369	2	150	8	26	155	107
GTEX.15CHQ.1526	265	58	130	524	383	522	45	21	88	793	1	206	2	261	80	805	843	40	0	263	225	972	1245	9	250	1	189	83	131	182	69	11
GTEX.15CHR.0226	8	99	4	247	255	67	1392	63	717	9	311	485	30	111	363	117	77	116	0	270	1192	40	235	1859	8	2286	26	140	61	336	641	250
GTEX.15DDE.1126	23	349	1	2062	223	18	7	43	237	21	0	185	16	135	44	2003	197	26	0	228	195	120	191	8	2	25	2	103	569	132	1828	1
GTEX.15DYW.1126	240	689	38	161	274	792	1	51	84	137	6	196	5	542	85	312	371	36	0	498	14	151	190	3	491	20	310	51	446	90	82	0
GTEX.15EOM.5007	0	0	0	0	0	0	0	0	51	0	0	87	0	0	1	0	0	278	4750	10	0	0	0	0	0	0	0	0	0	1	0	0
GTEX.15ER7.1726	37	862	55	361	185	218	2	48	241	3	4	136	12	490	146	31	180	27	0	135	222	409	1035	122	85	226	616	6	78	148	1016	49
GTEX.15RIE.1726	33	57	27	611	328	0	1080	126	310	563	1	98	30	103	69	335	131	72	0	19	3335	224	424	861	0	559	23	1160	28	111	1287	64
GTEX.15RJ7.0226	4	8	0	79	200	0	1230	142	341	0	62	100	221	10	174	0	28	25	0	30	1060	9	24	2833	0	1550	0	90	1	272	464	173
GTEX.15RJE.0626	23	23	24	1645	335	57	50	152	237	1963	4	153	87	80	65	2069	372	50	0	167	430	21	462	40	17	1	62	433	12	443	32	8
GTEX.15SHU.1126	4	124	28	997	353	114	48	31	133	1231	1	51	7	117	41	1763	528	18	0	107	190	269	915	20	5	4	42	224	94	112	140	7
GTEX.15SHW.1226	54	19	0	699	430	363	33	124	63	3265	1	312	23	48	17	152	698	45	0	301	146	42	25	1	44	0	31	61	62	90	8	0
GTEX.16BQI.0926	431	296	365	124	396	497	12	1	141	895	4	188	0	510	123	123	679	32	0	274	74	515	84	21	980	5	278	19	1381	104	121	5
GTEX.16MT8.0926	191	95	44	1395	825	89	6	60	119	185	1	212	9	110	81	291	551	23	0	182	227	364	554	39	106	22	54	45	158	290	1767	7
GTEX.16NPX.0926	23	244	68	1284	279	34	2	61	182	13	0	101	25	121	66	1361	130	35	0	47	137	201	665	31	6	33	56	243	40	107	1025	5
GTEX.16XZY.0426	33	6	99	4	51	20	182	74	263	6	584	27	33	101	233	1	30	43	0	99	114	132	57	1685	4	369	145	327	2	120	8	2744
GTEX.16YQH.0926	139	46	297	634	329	516	35	44	123	617	1	34	9	200	104	469	639	35	0	80	231	1025	1165	38	66	7	496	42	130	122	167	7
GTEX.17F9E.0926	0	527	1	87	114	27	1059	76	480	120	41	58	9	103	35	134	32	26	0	1133	380	6	70	336	1	2336	40	152	33	38	182	9
GTEX.17F9Y.1326	530	456	787	301	322	424	0	79	32	41	2	69	7	303	135	138	450	18	0	160	56	643	402	20	522	80	1143	18	164	84	418	3
GTEX.17GQL.0526	0	490	0	430	137	13	277	54	224	50	1	222	46	61	9	627	31	98	0	89	387	6	119	106	0	381	1	538	97	213	440	0
GTEX.17HGU.1026	948	38	133	170	380	543	5	96	98	175	1	75	13	281	100	147	726	5	0	72	44	575	199	10	956	0	315	5	371	53	14	0
